ID,Disciplina,Banca,Dificuldade,Tags
HSQ2300001,Geografia,Comvest,0,"Dinâmica da Natureza, Espaço Geográfico"
HSQ2300002,Geografia,Comvest,0,"Rede, Espaço Geográfico, Globalização, Fluxos"
HSQ2300003,Geografia,Comvest,0,"Conflitos e Tensões Mundiais, Organizações Supranacionais, População, Processos Econômicos Atuais, Gobalização"
HSQ2300004,Geografia,Comvest,0,"Dinâmica da Natureza, Espaço Geográfico, Placas"
HSQ2300005,Geografia,Comvest,0,Solos
HSQ2300006,Geografia,Comvest,0,"Espaço Urbano, Redes"
HSQ2300007,Geografia,Comvest,0,"Espaço Industrial, Espaço Urbano, Processos Econômicos Atuais"
HSQ2300008,História,Comvest,0,"Geral, Antiga"
HSQ2300009,História,Comvest,0,"Geral, Antiga"
HSQ2300010,História,Comvest,0,"Geral, Antiga"
HSQ2300011,História,Comvest,0,"Brasil, Brasil Colônia"
HSQ2300012,História,Comvest,0,"Brasil, Brasil Colônia, Historiografia"
HSQ2300013,História,Comvest,0,"Brasil, Brasil Império"
HSQ2300014,História,Comvest,0,Historiografia
HSQ2300015,Sociologia,Comvest,0,Sociologia
HSQ2300016,Sociologia,Comvest,0,Sociologia
HSQ2300017,Sociologia,Comvest,0,Sociologia
HSQ2300018,Filosofia,Comvest,0,Filosofia
HSQ2300019,Filosofia,Comvest,0,Filosofia
HSQ2300020,Filosofia,Comvest,0,Filosofia
HSQ2300021,Biologia,Comvest,0,Biologia
HSQ2300022,Biologia,Comvest,0,Biologia
HSQ2300023,Biologia,Comvest,0,Biologia
HSQ2300024,Biologia,Comvest,0,Biologia
HSQ2300025,Biologia,Comvest,0,Biologia
HSQ2300026,Biologia,Comvest,0,Biologia
HSQ2300027,Biologia,Comvest,0,Biologia
HSQ2300028,Física,Comvest,0,Física
HSQ2300029,Física,Comvest,0,Física
HSQ2300030,Física,Comvest,0,Física
HSQ2300031,Física,Comvest,0,Física
HSQ2300032,Física,Comvest,0,Física
HSQ2300033,Física,Comvest,0,Física
HSQ2300034,Física,Comvest,0,Física
HSQ2300035,Gramática,Comvest,0,Variação Linguística
HSQ2300036,Gramática,Comvest,0,"Interpretação, Formação de Palavras"
HSQ2300037,Gramática,Comvest,0,Formação de Palavras
HSQ2300038,Gramática,Comvest,0,"Interpretação, Semântica"
HSQ2300039,Gramática,Comvest,0,Formação de Palavras
HSQ2300040,Gramática,Comvest,0,Formação de Palavras
HSQ2300041,Literatura,Comvest,0,Literatura
HSQ2300042,Literatura,Comvest,0,Literatura
HSQ2300043,Literatura,Comvest,0,Literatura
HSQ2300044,Literatura,Comvest,0,Literatura
HSQ2300045,Literatura,Comvest,0,Literatura
HSQ2300046,Literatura,Comvest,0,Literatura
HSQ2300047,Literatura,Comvest,0,Literatura
HSQ2300048,Química,Comvest,0,Química
HSQ2300049,Química,Comvest,0,Química
HSQ2300050,Química,Comvest,0,Química
HSQ2300051,Química,Comvest,0,Química
HSQ2300052,Química,Comvest,0,Química
HSQ2300053,Química,Comvest,0,Química
HSQ2300054,Química,Comvest,0,Química
HSQ2300055,Matemática,Comvest,0,"Álgebra Básica, Lógica"
HSQ2300056,Matemática,Comvest,0,Álgebra Básica
HSQ2300057,Matemática,Comvest,0,"Álgebra Básica, Lógica"
HSQ2300058,Matemática,Comvest,0,Conjuntos Numéricos
HSQ2300059,Matemática,Comvest,0,"Geometria Plana, Trigonometria, Lei dos Cosenos"
HSQ2300060,Matemática,Comvest,0,"Álgebra Básica, Lógica"
HSQ2300061,Matemática,Comvest,0,"Geometria, Triângulos, Teoremas"
HSQ2300062,Matemática,Comvest,0,"Função, Sistema Linear"
HSQ2300063,Matemática,Comvest,0,"Geometria Plana, Trigonometria, Lei dos Cosenos"
HSQ2300064,Matemática,Comvest,0,"Funções, Teoria dos Números"
HSQ2300065,Matemática,Comvest,0,"Funções, Funções Compostas, Análise de Gráficos"
HSQ2300066,Matemática,Comvest,0,"Álgebra Básica, Lógica"
